Time_DR1,Front_DR1,Back_DR1,Time__F1,Back_F1,Front_F1,Time_F2,Front_F2,Back_F2,Time_B1,Back_B1,Front_B1,Time_B2,Back_B2,Front_B2,Time_C1,Back_C1,Front_C1,Time_C2,Back_C2,Front_C2
2.533,27.22649193,29.35728836,2.466,29.15408516,26.64606094,2.667,27.2953968,28.84182167,2.733,29.28959274,30.28752708,2.933,27.07475662,28.5696106,2.667,30.13971901,30.4887886,2.733,31.83514786,31.78211403
2.666,27.26783943,29.39788628,2.6,29.28959274,26.7706871,2.734,27.32294655,28.6785717,2.866,29.35728836,30.38149071,3.066,27.44684219,28.55598259,2.8,30.39490891,30.44856262,2.8,31.64942741,31.92789841
2.733,27.35049057,29.46551895,2.666,29.38435555,26.60449028,2.867,27.25405884,28.88259888,2.933,29.50607872,30.18004799,3.133,27.50186348,28.48782349,2.934,29.99172401,30.62277222,2.933,31.72905731,31.91465378
2.867,27.157547,29.62767792,2.8,29.60066795,26.71531487,3,27.2953968,29.22185898,3.133,29.54662704,30.20692825,3.266,27.41932106,28.7602253,3,30.1666069,30.4083252,3,31.78211403,32.02058029
3,27.40555763,29.61417389,2.866,29.66818428,26.61834908,3.134,27.28161812,28.9505291,3.2,29.43847084,30.47538185,3.333,27.4881115,28.58323669,3.134,30.28752708,30.46197319,3.133,31.74232292,31.86165428
3.133,27.43308258,29.76264191,3.066,29.9378624,26.74300385,3.201,27.25405884,29.23540878,3.333,29.68168259,30.50219345,3.533,27.37802696,28.66495705,3.267,30.04556274,30.44856262,3.2,31.74232292,32.04704666
3.2,27.33671951,29.77612877,3.2,30.08592415,26.56290436,3.334,27.3917942,29.20830727,3.466,29.95133018,30.44856262,3.6,27.35049057,28.66495705,3.4,30.27409744,30.39490891,3.4,31.66270256,32.19251251
3.333,27.4743557,30.01864624,3.266,30.3546524,26.70146751,3.467,27.36425972,29.42494392,3.533,29.77612877,30.43515205,3.733,27.59808922,28.80103111,3.467,30.11282539,30.46197319,3.467,31.91465378,32.20572662
3.467,27.57060432,30.19348907,3.4,30.1666069,26.86752319,3.534,27.3917942,29.42494392,3.666,30.00518608,30.31438255,3.866,27.36425972,28.85541725,3.6,30.24723434,30.51559639,3.6,31.79537392,31.92789841
3.533,27.69423485,30.15316391,3.466,30.55579948,26.74300385,3.667,27.22649193,29.46551895,3.8,30.01864624,30.30095482,3.933,27.4605999,28.84182167,3.667,30.24723434,30.47538185,3.667,31.78211403,32.02058029
3.666,27.59808922,30.3546524,3.6,30.6361618,26.7706871,3.801,27.32294655,29.54662704,3.866,30.09937477,30.55579948,4.066,27.54311371,28.89618874,3.8,30.31438255,30.74322891,3.8,31.86165428,31.90140533
3.8,27.63930511,30.31438255,3.666,30.62277222,26.63220596,3.867,27.32294655,29.49256134,4,30.1666069,30.54240036,4.199,27.51561546,28.71940613,3.934,30.42173958,30.50219345,3.867,31.76885223,32.04704666
3.933,27.8999939,30.36807251,3.866,30.79672623,26.83986282,4,27.32294655,29.64118195,4.066,30.09937477,30.64955139,4.266,27.70796394,28.88259888,4,30.09937477,30.81009674,4.067,31.78211403,32.08673477
4,27.70796394,30.94371796,3.933,30.79672623,26.78452492,4.067,27.57060432,29.69517899,4.2,30.4887886,30.60938072,4.4,27.54311371,28.82822609,4.134,30.36807251,30.71647072,4.133,31.87490654,32.32460022
4.133,27.70796394,30.52899933,4.066,30.83683205,26.96427917,4.267,27.51561546,29.9378624,4.333,30.20692825,30.6897068,4.533,27.57060432,28.97769165,4.2,30.42173958,30.60938072,4.267,31.92789841,32.17929459
4.267,27.88628769,30.97042465,4.2,31.15720367,26.85369492,4.334,27.52936554,29.80310059,4.466,30.50219345,30.66293716,4.6,27.51561546,28.97769165,4.334,30.4887886,30.62277222,4.4,31.87490654,32.33779907
4.333,27.84515953,30.85019875,4.266,31.0638504,26.99190712,4.467,27.63930511,30.07247162,4.6,30.4887886,30.59598732,4.733,27.68050575,29.20830727,4.4,30.38149071,30.76997948,4.467,31.72905731,32.29819489
4.467,27.73541641,30.91700554,4.4,31.30375099,26.85369492,4.534,27.70796394,29.99172401,4.666,30.54240036,30.50219345,4.866,27.3917942,28.92336273,4.533,30.28752708,30.72985077,4.6,31.87490654,32.17929459
4.6,27.92740059,31.0638504,4.466,31.43682289,26.9090004,4.667,27.59808922,29.99172401,4.8,30.67632294,30.66293716,5,27.77658272,29.15408516,4.6,30.54240036,31.01047325,4.667,32.02058029,32.27178192
4.666,27.8999939,31.13053894,4.6,31.49000931,27.01953125,4.801,27.74913979,30.13971901,4.933,30.71647072,30.55579948,5.066,27.61182976,29.24895668,4.734,30.43515205,30.60938072,4.8,31.75558853,32.16607666
4.8,27.77658272,31.21051407,4.666,31.76885223,26.89517593,4.867,27.76286125,30.01864624,5,30.83683205,30.72985077,5.199,27.55685997,29.03199387,4.8,30.51559639,30.90364838,4.933,31.92789841,32.08673477
4.867,27.9821949,31.34368896,4.8,31.92789841,26.86752319,5.067,27.62556839,30.32780647,5.133,30.76997948,30.74322891,5.333,27.58434868,29.16764259,4.934,30.46197319,30.85019875,5,31.8086338,32.39058685
5.067,27.9136982,31.31706619,4.866,32.1131897,27.01953125,5.134,27.63930511,30.30095482,5.266,30.99712563,30.59598732,5.4,27.81773376,29.34375191,5,30.42173958,30.8902874,5.2,31.99410629,32.19251251
