Time,Time_Short,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6
9.334,9.334,36.81424424,28.32005881,17.89087125,19.91415986,8.726391793,7.83018885
9.401,9.401,36.95973722,28.18568437,17.27497354,19.98155836,8.948955984,7.037932008
9.534,9.534,36.88256928,28.41128274,17.52309408,20.82597661,9.414366533,7.960653476
9.601,9.601,37.99204551,27.90899877,17.19867105,20.21147891,8.685837642,7.179235172
9.734,9.734,37.57971274,28.53720119,18.18445356,19.96333801,8.901106567,6.85272997
9.867,9.867,37.63931706,28.85366204,18.66732592,20.16979966,9.84618729,7.573469776
10,10,38.18249118,28.52526811,18.44412536,20.42012456,9.189460525,7.393567369
10.067,10.067,38.26855802,28.77848464,17.53601479,20.38303732,9.649754714,7.934338587
10.201,10.201,38.80546524,29.67328249,18.08287982,20.40161403,8.741908872,7.465853132
10.334,10.334,38.10408615,29.23311774,18.52490276,20.32744972,9.60439475,8.361404439
10.401,10.401,38.99393564,29.38554962,18.39213195,20.61221969,9.24460521,7.387748465
10.534,10.534,39.26631943,29.74617407,17.75676153,20.82835406,9.885458532,8.136890431
10.667,10.667,39.26192598,30.00267933,18.25614369,21.10392985,9.581012222,7.209683875
10.734,10.734,39.53617304,30.10663561,18.21690299,21.08360187,9.893364708,7.455783321
10.867,10.867,39.58199628,30.44668262,17.69724376,20.94352561,9.742750279,7.828427397
11,11,39.13504026,29.80164967,18.50147441,20.54278992,8.675895104,7.606189023
11.067,11.067,40.38368657,29.92315939,18.6236765,20.80701808,9.640927085,7.78345434
11.201,11.201,40.13361622,29.98519716,18.96093878,22.02064405,10.07963075,8.961393065
11.334,11.334,39.86846151,29.63864906,19.1073634,21.46325103,9.17683508,7.74295619
11.401,11.401,40.31115135,30.79650417,19.13804119,21.46620884,9.172645265,8.562332283
11.534,11.534,41.25116153,30.45204844,19.26245782,21.27268827,9.963059199,8.666945293
11.667,11.667,40.41082618,29.97123281,18.91075264,22.08796618,9.719556115,8.525214494
11.801,11.801,40.83488331,30.23402533,19.84135483,21.8324282,10.39122469,7.921840415
11.867,11.867,41.10643728,30.64264683,19.13571465,22.00064698,10.32755274,8.410149856
12,12,41.03408534,31.15519407,19.84218974,22.62210904,9.955102115,8.06005849
